Region,Year,Total Deaths Rate (in Thousands),,,,,,,,,,,Total Population (in Thousands),,,,,,,,,,
Europe,2021,   16,   600,  3 286,  2 865,  9 348,  9 004,  15 856,  6 673,  4 498,  1 490,  53 635,  169 061,  298 838, 1 727 137,  660 126,  450 242,  298 506,  339 443,  166 136,  58 808,  6 730, 4 175 027
Europe,2022,   17,   594,  2 972,  2 519,  8 531,  8 217,  14 569,  6 212,  4 299,  1 543,  49 473,  166 458,  297 207, 1 724 834,  655 139,  448 019,  300 240,  343 890,  168 854,  59 472,  6 888, 4 171 000
Europe,2023,   13,   561,  2 791,  2 332,  8 035,  7 738,  13 725,  5 886,  4 082,  1 491,  46 655,  163 235,  294 872, 1 724 283,  650 067,  445 909,  302 605,  349 630,  172 681,  60 268,  7 032, 4 170 581
South America,2000,   85,   537,  1 481,   909,  1 596,  1 436,  2 262,   860,   399,   74,  9 639,  158 545,  272 005,  576 562,  272 019,  160 728,  54 324,  48 400,  18 914,  4 201,   298, 1 565 997
South America,2001,   80,   547,  1 512,   925,  1 633,  1 469,  2 313,   884,   411,   78,  9 852,  157 962,  271 893,  590 230,  277 931,  164 450,  56 196,  49 918,  19 732,  4 430,   322, 1 593 064
South America,2002,   75,   542,  1 508,   923,  1 652,  1 488,  2 347,   902,   426,   84,  9 948,  157 181,  271 469,  604 073,  283 898,  168 246,  58 164,  51 511,  20 589,  4 682,   349, 1 620 160
South America,2003,   70,   544,  1 523,   930,  1 689,  1 523,  2 406,   932,   450,   91,  10 158,  156 223,  270 775,  618 067,  289 914,  172 118,  60 227,  53 181,  21 470,  4 951,   377, 1 647 303
South America,2004,   66,   540,  1 523,   929,  1 705,  1 539,  2 433,   948,   468,   97,  10 248,  155 207,  269 893,  632 142,  295 944,  176 053,  62 386,  54 944,  22 371,  5 240,   406, 1 674 583
South America,2005,   62,   538,  1 530,   933,  1 724,  1 556,  2 461,   963,   485,   102,  10 354,  154 278,  268 919,  646 249,  301 961,  180 037,  64 650,  56 820,  23 303,  5 556,   436, 1 702 210
South America,2006,   59,   543,  1 549,   942,  1 756,  1 586,  2 511,   988,   508,   109,  10 551,  153 369,  267 821,  660 369,  307 941,  184 052,  67 020,  58 822,  24 278,  5 902,   469, 1 730 043
South America,2007,   55,   545,  1 566,   954,  1 802,  1 631,  2 589,  1 024,   539,   117,  10 821,  152 401,  266 576,  674 447,  313 855,  188 077,  69 479,  60 946,  25 281,  6 270,   503, 1 757 836
South America,2008,   53,   553,  1 592,   966,  1 827,  1 655,  2 623,  1 040,   557,   123,  10 990,  151 420,  265 219,  688 422,  319 680,  192 102,  72 014,  63 178,  26 285,  6 641,   536, 1 785 498
South America,2009,   50,   555,  1 612,   981,  1 864,  1 691,  2 678,  1 064,   578,   129,  11 202,  150 445,  263 788,  702 238,  325 345,  196 090,  74 626,  65 545,  27 297,  7 012,   570, 1 812 956
South America,2010,   48,   550,  1 616,   988,  1 904,  1 732,  2 751,  1 096,   606,   138,  11 428,  149 439,  262 341,  715 875,  330 814,  200 016,  77 304,  68 035,  28 324,  7 385,   606, 1 840 139
South America,2011,   46,   550,  1 625,   997,  1 937,  1 766,  2 808,  1 119,   627,   145,  11 621,  148 457,  260 905,  729 436,  336 149,  203 905,  80 038,  70 633,  29 379,  7 763,   644, 1 867 309
South America,2012,   44,   546,  1 630,  1 009,  1 985,  1 815,  2 894,  1 154,   655,   155,  11 887,  147 501,  259 459,  742 973,  341 352,  207 759,  82 826,  73 364,  30 477,  8 151,   685, 1 894 547
South America,2013,   43,   540,  1 630,  1 017,  2 025,  1 858,  2 969,  1 184,   678,   162,  12 107,  146 521,  257 983,  756 473,  346 400,  211 567,  85 659,  76 233,  31 616,  8 547,   730, 1 921 728
South America,2014,   41,   538,  1 633,  1 027,  2 062,  1 897,  3 040,  1 211,   695,   169,  12 314,  145 651,  256 543,  769 971,  351 298,  215 326,  88 521,  79 262,  32 810,  8 955,   781, 1 949 117
South America,2015,   40,   528,  1 620,  1 032,  2 105,  1 942,  3 126,  1 245,   721,   179,  12 537,  144 923,  255 151,  783 453,  356 085,  219 032,  91 379,  82 421,  34 048,  9 365,   835, 1 976 691
South America,2016,   39,   542,  1 669,  1 069,  2 201,  2 035,  3 286,  1 309,   757,   191,  13 098,  144 067,  253 684,  796 907,  360 855,  222 701,  94 183,  85 623,  35 290,  9 757,   889, 2 003 957
South America,2017,   39,   535,  1 648,  1 063,  2 236,  2 073,  3 371,  1 349,   785,   202,  13 300,  143 071,  252 080,  810 212,  365 506,  226 277,  96 954,  88 915,  36 576,  10 144,   943, 2 030 678
South America,2018,   38,   517,  1 629,  1 065,  2 280,  2 117,  3 456,  1 385,   809,   212,  13 507,  142 122,  250 349,  823 101,  369 857,  229 668,  99 727,  92 355,  37 962,  10 541,  1 001, 2 056 683
South America,2019,   36,   499,  1 613,  1 076,  2 356,  2 192,  3 600,  1 445,   848,   226,  13 892,  140 953,  248 460,  835 558,  373 955,  232 873,  102 482,  95 896,  39 440,  10 941,  1 058, 2 081 616
South America,2020,   34,   530,  1 865,  1 300,  2 850,  2 657,  4 347,  1 725,  1 000,   273,  16 582,  139 242,  246 338,  847 152,  377 836,  235 876,  105 036,  99 206,  40 792,  11 235,  1 092, 2 103 806
South America,2021,   34,   636,  2 323,  1 613,  3 254,  2 998,  4 776,  1 853,  1 031,   278,  18 795,  137 317,  244 094,  857 344,  381 333,  238 572,  107 278,  102 129,  41 941,  11 432,  1 105, 2 122 545
South America,2022,   33,   534,  1 793,  1 224,  2 772,  2 582,  4 273,  1 726,  1 038,   301,  16 276,  135 533,  241 855,  867 660,  384 742,  241 263,  109 654,  105 285,  43 238,  11 642,  1 108, 2 141 981
South America,2023,   31,   505,  1 663,  1 133,  2 568,  2 393,  3 970,  1 601,   947,   253,  15 063,  133 815,  239 607,  879 068,  388 292,  244 147,  112 430,  109 043,  44 921,  11 977,  1 130, 2 164 429
Northern America,2000,   13,   286,  1 076,   774,  2 485,  2 351,  4 129,  1 794,  1 154,   368,  14 431,  94 809,  166 799,  647 791,  282 887,  175 448,  85 045,  88 335,  45 602,  14 547,  1 574, 1 602 837
Northern America,2001,   13,   294,  1 105,   784,  2 494,  2 355,  4 124,  1 796,  1 168,   373,  14 506,  95 185,  167 489,  655 350,  284 992,  177 361,  87 007,  89 188,  46 138,  14 874,  1 607, 1 619 191
Northern America,2002,   13,   297,  1 130,   795,  2 529,  2 386,  4 165,  1 817,  1 198,   386,  14 716,  95 490,  168 033,  663 361,  287 251,  179 499,  89 172,  90 362,  46 645,  15 216,  1 642, 1 636 672
Northern America,2003,   13,   299,  1 152,   807,  2 537,  2 392,  4 158,  1 812,  1 207,   391,  14 768,  95 752,  168 554,  671 464,  289 480,  181 749,  91 476,  91 789,  47 115,  15 567,  1 678, 1 654 625
Northern America,2004,   12,   293,  1 149,   802,  2 494,  2 351,  4 069,  1 771,  1 190,   386,  14 519,  96 030,  169 122,  679 716,  291 694,  184 069,  93 949,  93 340,  47 629,  15 962,  1 723, 1 673 235
Northern America,2005,   12,   298,  1 183,   821,  2 548,  2 404,  4 146,  1 807,  1 230,   405,  14 853,  96 212,  169 718,  688 190,  294 024,  186 482,  96 539,  94 922,  48 200,  16 369,  1 773, 1 692 430
Northern America,2006,   11,   298,  1 196,   827,  2 525,  2 383,  4 090,  1 779,  1 219,   405,  14 735,  96 539,  170 388,  696 820,  296 295,  188 944,  99 202,  96 916,  48 775,  16 777,  1 820, 1 712 476
Northern America,2007,   12,   291,  1 194,   834,  2 532,  2 394,  4 102,  1 778,  1 229,   411,  14 775,  97 210,  171 119,  705 611,  298 340,  191 422,  101 970,  99 591,  49 390,  17 221,  1 876, 1 733 751
Northern America,2008,   11,   283,  1 199,   851,  2 591,  2 456,  4 210,  1 819,  1 268,   432,  15 120,  97 895,  171 706,  714 537,  300 190,  193 880,  104 803,  102 512,  50 015,  17 642,  1 944, 1 755 124
Northern America,2009,   11,   277,  1 205,   861,  2 561,  2 429,  4 141,  1 779,  1 243,   426,  14 933,  98 314,  172 033,  723 659,  301 968,  196 300,  107 682,  105 446,  50 702,  18 058,  2 026, 1 776 189
Northern America,2010,   10,   267,  1 194,   865,  2 602,  2 476,  4 227,  1 814,  1 278,   451,  15 183,  98 467,  172 173,  733 170,  303 872,  198 749,  110 605,  108 405,  51 488,  18 488,  2 116, 1 797 534
Northern America,2011,   10,   267,  1 215,   885,  2 656,  2 531,  4 317,  1 849,  1 310,   473,  15 513,  98 507,  172 292,  742 931,  305 742,  201 210,  113 468,  111 523,  52 258,  18 786,  2 186, 1 818 904
Northern America,2012,   10,   263,  1 223,   902,  2 673,  2 553,  4 344,  1 850,  1 307,   477,  15 602,  98 565,  172 524,  752 680,  307 453,  203 552,  116 221,  114 992,  53 146,  18 984,  2 236, 1 840 354
Northern America,2013,   10,   261,  1 237,   924,  2 722,  2 603,  4 430,  1 879,  1 318,   487,  15 870,  98 641,  172 904,  762 327,  309 312,  205 796,  118 893,  118 652,  54 248,  19 174,  2 284, 1 862 233
Northern America,2014,   10,   264,  1 261,   947,  2 745,  2 628,  4 461,  1 883,  1 307,   490,  15 995,  98 812,  173 470,  771 777,  311 410,  208 080,  121 492,  122 388,  55 404,  19 379,  2 332, 1 884 544
Northern America,2015,   10,   274,  1 291,   978,  2 817,  2 701,  4 594,  1 932,  1 337,   507,  16 440,  99 087,  174 216,  781 051,  313 834,  210 478,  123 918,  126 190,  56 545,  19 614,  2 378, 1 907 311
Northern America,2016,   10,   292,  1 333,  1 009,  2 832,  2 713,  4 606,  1 926,  1 316,   502,  16 539,  99 362,  175 064,  790 404,  316 564,  212 708,  126 136,  130 081,  58 017,  19 854,  2 419, 1 930 608
Northern America,2017,   10,   298,  1 348,  1 024,  2 902,  2 782,  4 742,  1 986,  1 347,   521,  16 960,  99 484,  175 816,  799 781,  319 282,  214 550,  128 203,  134 122,  60 018,  20 105,  2 461, 1 953 821
Northern America,2018,   10,   294,  1 339,  1 029,  2 935,  2 816,  4 814,  2 014,  1 349,   525,  17 125,  99 341,  176 258,  808 974,  321 771,  216 224,  130 170,  138 301,  62 208,  20 379,  2 502, 1 976 127
Northern America,2019,   10,   295,  1 330,  1 030,  2 958,  2 838,  4 870,  2 037,  1 350,   524,  17 242,  98 997,  176 449,  818 084,  323 924,  217 836,  132 169,  142 625,  64 393,  20 708,  2 548, 1 997 733
Northern America,2020,   10,   362,  1 580,  1 222,  3 491,  3 344,  5 753,  2 405,  1 570,   594,  20 332,  98 088,  175 788,  825 124,  324 930,  218 881,  134 007,  146 666,  66 308,  20 963,  2 586, 2 013 342
Northern America,2021,   11,   406,  1 745,  1 340,  3 578,  3 409,  5 800,  2 391,  1 516,   560,  20 755,  96 817,  174 504,  830 178,  325 032,  219 348,  135 538,  150 372,  68 252,  21 212,  2 620, 2 023 872
Northern America,2022,   10,   337,  1 536,  1 192,  3 332,  3 195,  5 454,  2 266,  1 454,   569,  19 344,  95 916,  173 559,  836 804,  325 729,  220 044,  137 173,  154 558,  70 900,  21 776,  2 676, 2 039 136
Northern America,2023,   9,   293,  1 303,  1 034,  3 118,  2 998,  5 215,  2 193,  1 425,   560,  18 147,  95 155,  172 654,  845 287,  327 065,  221 043,  139 076,  159 373,  74 087,  22 648,  2 751, 2 059 137
Oceania,2000,   7,   33,   101,   67,   179,   168,   289,   123,   73,   20,  1 060,  11 970,  20 148,  59 578,  26 606,  16 325,  7 269,  7 226,  3 464,   982,   90,  153 659
Oceania,2001,   7,   33,   102,   67,   182,   171,   294,   125,   76,   21,  1 079,  12 084,  20 387,  60 625,  26 991,  16 602,  7 482,  7 394,  3 570,  1 030,   95,  156 261
Oceania,2002,   7,   33,   104,   69,   189,   177,   306,   131,   81,   23,  1 121,  12 189,  20 615,  61 741,  27 396,  16 895,  7 691,  7 563,  3 664,  1 076,   101,  158 931
Oceania,2003,   7,   34,   106,   69,   189,   177,   305,   131,   82,   24,  1 124,  12 297,  20 831,  62 895,  27 813,  17 199,  7 898,  7 734,  3 750,  1 118,   106,  161 641
Oceania,2004,   7,   34,   107,   70,   191,   180,   309,   132,   84,   25,  1 140,  12 410,  21 042,  64 056,  28 227,  17 504,  8 108,  7 920,  3 835,  1 164,   112,  164 378
Oceania,2005,   7,   35,   109,   71,   191,   179,   307,   131,   85,   26,  1 139,  12 534,  21 262,  65 250,  28 652,  17 818,  8 326,  8 125,  3 925,  1 219,   119,  167 230
Oceania,2006,   7,   35,   110,   72,   197,   184,   317,   136,   90,   28,  1 175,  12 695,  21 514,  66 533,  29 118,  18 157,  8 556,  8 358,  4 018,  1 277,   125,  170 352
Oceania,2007,   7,   36,   113,   74,   203,   191,   328,   140,   94,   29,  1 214,  12 906,  21 805,  67 935,  29 646,  18 531,  8 796,  8 623,  4 110,  1 332,   131,  173 815
Oceania,2008,   6,   36,   113,   74,   208,   196,   337,   145,   98,   31,  1 245,  13 137,  22 113,  69 444,  30 224,  18 935,  9 044,  8 895,  4 200,  1 382,   135,  177 508
Oceania,2009,   7,   36,   116,   76,   208,   195,   335,   143,   98,   31,  1 245,  13 354,  22 409,  70 987,  30 799,  19 343,  9 302,  9 175,  4 296,  1 432,   140,  181 237
Oceania,2010,   6,   36,   115,   76,   210,   198,   340,   146,   100,   32,  1 259,  13 542,  22 682,  72 478,  31 327,  19 734,  9 574,  9 473,  4 404,  1 485,   148,  184 845
Oceania,2011,   6,   36,   117,   78,   217,   204,   352,   151,   104,   35,  1 299,  13 716,  22 951,  73 930,  31 821,  20 114,  9 853,  9 787,  4 519,  1 534,   158,  188 383
Oceania,2012,   6,   36,   117,   79,   222,   209,   361,   154,   107,   37,  1 329,  13 912,  23 244,  75 413,  32 325,  20 505,  10 131,  10 116,  4 636,  1 575,   168,  192 025
Oceania,2013,   6,   35,   119,   80,   222,   209,   358,   152,   105,   37,  1 324,  14 110,  23 550,  76 934,  32 852,  20 904,  10 409,  10 453,  4 763,  1 617,   177,  195 769
Oceania,2014,   6,   36,   121,   82,   230,   217,   374,   159,   110,   40,  1 376,  14 284,  23 846,  78 473,  33 404,  21 301,  10 681,  10 790,  4 905,  1 660,   187,  199 531
Oceania,2015,   6,   36,   123,   84,   236,   222,   382,   163,   113,   42,  1 407,  14 450,  24 144,  80 053,  33 992,  21 704,  10 944,  11 130,  5 056,  1 700,   196,  203 369
Oceania,2016,   6,   36,   124,   85,   238,   225,   386,   165,   114,   43,  1 422,  14 622,  24 458,  81 720,  34 632,  22 118,  11 206,  11 484,  5 229,  1 744,   206,  207 418
Oceania,2017,   6,   37,   126,   86,   247,   233,   402,   172,   118,   46,  1 474,  14 767,  24 760,  83 444,  35 306,  22 534,  11 473,  11 847,  5 424,  1 787,   214,  211 558
Oceania,2018,   6,   37,   127,   87,   244,   231,   396,   169,   115,   45,  1 458,  14 876,  25 029,  85 147,  35 963,  22 943,  11 751,  12 227,  5 629,  1 835,   223,  215 622
Oceania,2019,   6,   37,   130,   88,   252,   238,   410,   175,   120,   48,  1 503,  14 964,  25 265,  86 830,  36 586,  23 354,  12 056,  12 643,  5 849,  1 889,   233,  219 667
Oceania,2020,   5,   37,   131,   90,   254,   240,   411,   175,   118,   47,  1 508,  15 024,  25 451,  88 311,  37 089,  23 713,  12 379,  13 086,  6 087,  1 949,   244,  223 333
Oceania,2021,   5,   39,   142,   98,   271,   255,   435,   185,   125,   50,  1 606,  15 060,  25 602,  89 578,  37 476,  24 007,  12 687,  13 517,  6 338,  2 018,   254,  226 537
Oceania,2022,   5,   30,   137,   103,   309,   298,   509,   216,   148,   62,  1 816,  15 092,  25 757,  90 826,  37 877,  24 299,  12 959,  13 906,  6 579,  2 071,   257,  229 623
Oceania,2023,   5,   31,   127,   93,   283,   271,   467,   200,   136,   56,  1 669,  15 119,  25 908,  92 108,  38 302,  24 598,  13 219,  14 294,  6 820,  2 123,   258,  232 750
