Country,Year,Meningitis,Neoplasms,Malaria,Drowning,Interpersonal_violence,HIV,Drug_use_disorders,Road_injuries,Maternal_disorders,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Alcohol_use_disorders,Diarrheal,Nutritional_deficiencies,Self-harm,Diabetes_mellitus,Poisonings,Cardiovascular,Kidney_disease,Respiratory_diseases,Liver_diseases,Digestive_diseases,Alzheimer_disease,Parkinson_disease,Total_death_per_year
Afghanistan,2009,2460,16383,239,1852,3874,167,270,7290,5013,24340,115,7359,2040,1342,3336,483,53964,4597,7045,3291,6358,1449,460,154792
Afghanistan,2011,2327,17094,390,1775,4170,184,292,7432,4857,22883,120,6412,1846,1391,3550,483,54347,4785,6916,3318,6370,1508,473,154448
Afghanistan,2012,2254,17522,94,1716,4245,191,305,7494,4736,22162,123,6008,1705,1413,3682,482,54868,4846,6878,3353,6398,1544,482,156022
Afghanistan,2013,2281,18015,143,1777,4379,200,316,8054,4623,22260,126,5986,1690,1433,3827,494,55274,4945,6859,3413,6476,1581,491,158352
Afghanistan,2014,1935,18462,228,1757,4420,213,326,8087,4470,21750,128,5751,1617,1444,3986,496,55932,5055,6851,3454,6522,1620,502,160420
Afghanistan,2015,1821,18876,284,1730,5039,230,339,7730,4320,21016,131,5509,1505,1467,4143,496,56875,5153,6835,3492,6555,1652,511,161925
Afghanistan,2016,1795,19459,388,1742,5033,251,354,7866,4212,20601,135,5376,1452,1505,4349,504,57970,5296,6894,3578,6673,1690,524,163789
Afghanistan,2010,2410,16718,377,1837,4130,176,281,7379,4940,23701,118,6889,1974,1367,3413,484,53934,4693,6969,3304,6367,1476,465,154559
Afghanistan,2017,1665,20111,399,1723,5191,272,372,8013,4123,19868,139,5328,1367,1548,4497,512,59553,5419,6982,3693,6841,1728,537,165973
Afghanistan,2018,1576,20673,466,1669,5500,291,390,8095,4102,19014,143,4597,1279,1582,4664,514,60893,5531,7036,3732,6861,1757,551,160916
Afghanistan,2019,1563,21247,530,1687,5015,318,406,8254,4038,18697,147,4320,1244,1613,4817,525,61995,5637,7082,3797,6929,1775,560,162196
Armenia,2009,9,5635,0,58,153,12,10,260,12,572,63,23,5,286,1355,19,13478,309,1201,1071,1617,577,153,26879
Armenia,2010,8,5672,0,57,154,10,10,257,7,570,62,20,5,296,1345,20,13493,334,1196,1101,1668,614,159,27058
Armenia,2011,7,5697,0,54,151,10,10,263,8,567,61,19,4,306,1321,20,13432,353,1207,1129,1714,647,162,27142
Armenia,2012,7,5672,0,53,193,20,9,267,7,559,62,17,4,308,1282,20,13268,385,1217,1116,1718,681,164,27029
Armenia,2013,6,5571,0,49,174,16,9,259,9,558,63,16,3,299,1226,19,12927,395,1211,1097,1704,713,162,26486
Armenia,2014,6,5612,0,47,171,28,9,260,9,566,64,15,3,297,1195,19,12911,413,1248,1111,1728,741,164,26617
Armenia,2015,6,5768,0,47,162,31,9,274,9,595,65,14,4,302,1209,19,13198,440,1307,1146,1780,780,169,27334
Armenia,2016,5,5714,0,45,159,27,9,262,12,613,66,14,4,297,1164,19,13194,466,1298,1158,1784,810,169,27295
Armenia,2017,5,5756,0,45,154,22,9,251,9,582,67,14,4,289,1196,18,13391,455,1319,1138,1758,839,171,27492
Armenia,2018,5,5789,0,44,154,20,10,245,8,565,68,14,4,289,1214,18,13489,453,1326,1127,1740,861,170,27613
Armenia,2019,5,5834,0,44,153,19,10,240,8,546,69,13,4,287,1235,18,13507,449,1323,1114,1720,873,169,27640
Azerbaijan,2009,113,9484,1,341,325,40,32,725,46,3651,192,172,38,406,1671,83,37685,1222,1716,2811,3587,765,280,65387
Azerbaijan,2010,111,9740,1,345,340,42,33,740,47,3575,197,159,37,408,1710,84,38294,1248,1753,2815,3593,785,293,66350
Azerbaijan,2011,99,10022,1,336,343,36,34,750,46,3471,202,153,35,406,1745,85,39148,1272,1804,2838,3624,819,308,67577
Azerbaijan,2012,93,10263,0,327,353,30,34,745,44,3350,205,146,34,398,1790,85,39799,1291,1847,2850,3639,832,319,68474
Azerbaijan,2013,75,10439,0,331,360,28,34,751,39,3225,206,144,33,394,1826,85,40438,1309,1884,2874,3670,857,331,69333
Azerbaijan,2014,73,10664,0,329,365,29,35,748,37,3116,207,140,33,387,1881,84,41339,1330,1933,2916,3720,881,344,70591
Azerbaijan,2015,69,10853,0,317,364,30,34,776,36,2988,208,136,31,376,1929,83,41528,1337,1952,2945,3751,889,346,70978
Azerbaijan,2016,67,11155,0,311,361,32,35,766,34,2863,209,133,30,368,2000,82,42389,1360,2001,3012,3830,906,356,72301
Azerbaijan,2017,65,11501,0,311,364,33,36,775,33,2726,213,127,30,369,2073,83,43086,1381,2038,3073,3900,907,360,73489
Azerbaijan,2018,63,11626,0,313,370,35,37,791,33,2569,220,120,29,375,2092,84,42028,1373,1996,3075,3896,918,343,72386
Azerbaijan,2019,62,11913,0,312,372,37,39,803,32,2454,225,114,29,379,2150,85,42138,1386,2006,3118,3945,941,338,72878
Bahrain,2009,3,482,0,12,35,12,2,171,5,67,4,9,4,89,375,2,848,117,132,88,140,36,13,2646
Bahrain,2010,3,499,0,12,35,12,2,168,5,66,5,9,4,86,404,2,862,119,126,89,140,38,13,2699
Bahrain,2011,3,511,0,12,34,12,3,167,5,66,5,9,4,86,429,2,876,122,123,91,142,41,14,2757
Bahrain,2012,3,523,0,13,33,12,3,170,6,66,5,9,4,85,456,3,884,123,119,94,145,43,14,2817
Bahrain,2013,3,539,0,14,32,12,3,176,6,65,5,9,3,84,489,3,883,122,115,97,148,45,14,2870
Bahrain,2014,3,567,0,14,32,11,3,179,7,65,5,9,3,85,519,2,899,121,115,101,154,49,15,2967
Bahrain,2015,3,606,0,14,31,11,3,181,7,68,5,10,3,84,540,2,955,130,123,107,164,53,16,3121
Bahrain,2016,3,649,0,13,30,11,3,177,6,71,5,10,3,81,573,2,1021,139,132,114,175,58,17,3294
Bahrain,2017,3,700,0,13,29,10,3,177,6,76,6,11,4,79,615,2,1104,151,142,122,187,63,19,3528
Bahrain,2018,3,753,0,13,28,9,3,176,5,79,6,11,4,78,655,2,1176,162,150,129,198,68,20,3728
Bahrain,2019,3,817,0,12,27,7,3,177,5,83,6,11,4,77,708,2,1271,176,161,138,212,74,21,3995
Bangladesh,2009,3846,73425,4105,19115,3521,214,227,9143,7008,50206,279,32312,9739,8237,22685,497,242016,10648,59517,25497,39291,7239,2745,631530
Bangladesh,2010,3663,76058,4993,17169,3576,246,229,9183,6938,47584,280,31548,8793,8133,23287,506,252054,10771,60294,25085,38799,7658,2899,639761
Bangladesh,2011,3328,76393,5108,15392,3678,286,220,8715,6848,44083,276,30285,7706,7534,21981,494,243361,10470,56564,24070,37327,7951,2713,614792
Bangladesh,2012,3005,77715,1087,13666,3632,320,217,8393,7283,40685,277,29560,6792,7119,21231,500,238443,10336,53698,23548,36562,8374,2556,595007
Bangladesh,2013,2887,80503,481,12246,3841,343,224,8371,7343,39183,280,30075,6259,6949,22033,490,245834,10470,54792,23445,36587,9137,2719,604508
Bangladesh,2015,2366,87112,901,10182,4087,368,233,8469,7439,37458,286,31321,5703,6857,24520,518,268859,10872,58308,23622,37322,10930,3180,640999
Bangladesh,2016,2334,91436,580,9401,4052,377,249,8428,7204,37103,295,32195,5311,6887,26259,533,279014,11265,60948,24192,38322,12037,3441,661939
Bangladesh,2014,2841,84234,1309,11053,4025,359,243,8581,7371,38828,285,30824,5974,6974,23973,504,260732,10825,58264,23631,37074,10117,3071,631130
Bangladesh,2017,2356,97080,560,8735,4021,383,271,8632,6913,37649,305,33537,5107,7096,29283,546,301659,11903,66183,25270,40132,13346,3951,704943
Bangladesh,2018,2338,101677,155,8107,3982,373,286,8639,6741,37302,314,33110,4702,7213,31202,555,313376,12339,68578,25707,40888,14478,4221,726283
Bangladesh,2019,2323,106147,110,7581,3954,359,299,8612,6598,37302,322,32927,4402,7365,33095,561,324764,12775,70893,26165,41679,15614,4489,748336
Bhutan,2009,40,352,16,28,9,25,1,69,37,213,6,154,14,37,99,3,958,108,472,157,259,52,18,3127
Bhutan,2010,38,365,4,27,9,26,1,69,36,205,6,149,13,38,104,3,983,111,482,160,262,55,19,3165
Bhutan,2011,32,377,3,26,9,27,2,70,35,197,6,144,12,39,109,3,1008,115,493,162,265,58,20,3212
Bhutan,2012,29,388,1,25,9,29,2,70,34,188,6,139,11,39,115,2,1033,119,502,163,267,61,21,3253
Bhutan,2013,28,400,0,25,9,31,2,69,33,183,6,136,10,40,121,2,1056,124,512,165,269,64,21,3306
Bhutan,2014,27,412,1,24,9,33,2,69,32,179,6,133,9,40,127,2,1080,129,522,167,272,66,22,3363
Bhutan,2015,26,424,0,23,8,33,2,67,31,175,6,130,9,40,134,2,1105,133,533,169,274,69,23,3416
Bhutan,2016,24,436,0,23,8,33,2,67,29,170,7,127,8,41,140,2,1128,137,542,171,277,72,24,3468
Bhutan,2017,23,448,0,22,8,32,2,66,28,166,7,126,8,40,144,2,1153,140,551,173,282,75,25,3521
Bhutan,2018,23,461,0,22,8,31,2,65,27,164,7,122,7,41,149,2,1181,144,561,175,284,78,26,3580
Bhutan,2019,22,474,0,21,7,31,2,64,26,161,7,119,7,41,155,2,1208,147,571,176,285,81,27,3634
Brunei,2009,1,345,0,13,6,5,2,51,2,51,1,2,1,17,131,1,368,49,73,22,42,15,8,1206
Brunei,2010,1,363,0,14,6,5,2,52,2,55,1,2,1,18,136,1,377,52,74,23,44,16,9,1254
Brunei,2011,1,377,0,14,6,5,2,53,2,59,1,2,1,19,138,1,383,54,74,23,45,16,9,1285
Brunei,2012,1,394,0,15,6,5,2,55,2,62,1,2,1,20,141,1,390,57,75,24,47,17,9,1327
Brunei,2013,1,416,0,15,6,5,2,56,3,67,1,3,1,21,146,1,407,61,78,25,49,18,10,1392
Brunei,2014,1,434,0,15,6,5,2,56,3,71,1,3,1,22,149,1,421,65,79,26,51,19,10,1441
Brunei,2015,1,453,0,15,6,6,2,56,3,74,1,3,1,22,152,1,436,68,81,27,53,19,11,1491
Brunei,2016,1,473,0,15,6,5,2,56,2,76,1,3,1,23,153,1,453,72,83,28,55,20,11,1540
Brunei,2017,1,491,0,16,6,5,2,59,3,78,1,3,1,23,159,1,472,74,86,29,57,21,12,1600
Brunei,2018,2,510,0,16,6,5,2,60,3,80,1,3,1,24,165,1,491,76,90,30,59,22,12,1659
Brunei,2019,2,528,0,16,6,5,2,61,3,82,2,3,1,25,171,1,508,78,93,31,61,24,13,1716
Cambodia,2009,357,9944,603,1199,479,3920,28,2774,711,12918,108,2360,720,696,2456,76,21722,1629,3850,6705,10206,1147,280,84888
Cambodia,2010,312,10345,335,1183,495,3361,29,2800,668,12732,110,2250,679,708,2563,75,22564,1684,3971,6846,10371,1209,295,85585
Cambodia,2011,289,10723,320,1136,498,2875,29,2790,595,12492,112,2142,642,711,2670,74,23410,1735,4090,6959,10494,1273,310,86369
Cambodia,2012,279,11114,148,1136,513,2521,30,2801,561,12429,114,2067,618,718,2768,74,24179,1783,4186,7085,10631,1335,324,87414
Cambodia,2013,262,11526,84,1109,513,2290,31,2804,559,12281,116,1982,594,724,2876,73,24962,1835,4281,7208,10757,1399,338,88604
Cambodia,2014,257,11963,118,1113,514,2121,32,2828,555,12303,119,1934,581,734,2984,73,25734,1886,4379,7369,10941,1461,352,90351
Cambodia,2015,174,12436,138,1108,514,1961,33,2849,535,12179,121,1893,569,748,3103,74,26558,1943,4485,7554,11160,1526,367,92028
Cambodia,2016,159,12927,94,1098,514,1825,34,2870,519,12124,124,1853,557,764,3229,73,27398,2004,4595,7760,11411,1591,383,93906
Cambodia,2017,147,13424,152,1075,505,1690,35,2876,501,12059,127,1844,548,775,3346,73,28304,2059,4711,8028,11757,1655,400,96091
Cambodia,2018,138,13998,66,1065,501,1539,36,2895,488,12059,130,1777,539,784,3490,72,29323,2127,4840,8211,11976,1725,421,98200
Cambodia,2019,129,14553,57,1048,495,1416,37,2911,477,12066,133,1718,532,785,3631,72,30313,2193,4959,8388,12188,1794,442,100337
China,2009,8394,2214787,9,72888,20659,16364,9981,329237,4207,186990,21192,8901,10874,150572,128147,30105,3669964,152838,1145608,164921,288756,208139,57485,8901204
China,2010,8341,2265802,12,70955,18926,16722,9838,327545,3762,186499,21077,7891,11293,146044,132114,30838,3831636,160396,1139700,162119,285663,218436,60241,9115857
China,2011,8193,2296328,11,66696,17477,17075,9567,315824,3350,184317,20738,7198,11739,139061,134980,30883,3937801,165833,1115828,158710,281834,225852,61781,9211095
China,2012,8057,2318471,0,65110,16177,16455,9170,300970,3015,181048,20458,6779,12120,131641,137073,30494,3973790,169494,1083590,155219,277791,232656,62640,9212245
China,2013,7971,2337453,0,63152,15134,17728,8989,288937,2761,178100,20181,6452,12748,126196,140303,30263,4049045,173650,1058374,151718,273718,239240,63853,9266026
China,2014,7740,2378155,0,62733,14194,21784,8980,279949,2340,175785,20069,6131,13528,123006,145136,29957,4120839,177089,1042132,149653,271449,249056,65555,9365582
China,2015,7553,2414868,0,61489,13512,26060,8872,268987,2341,175523,19893,6078,14487,120453,149030,29323,4180060,179638,1029418,148056,270036,259217,66761,9451778
China,2016,7550,2477718,0,61049,13076,29402,8964,262951,2510,179477,19803,6243,15827,121045,155700,29051,4292981,184528,1039047,148104,271648,275481,69364,9671532
China,2017,7228,2543288,0,59354,12523,31031,9499,257068,2083,179595,19627,6050,16572,121412,161250,28345,4378469,187685,1040384,149472,273724,291962,71490,9848127
China,2018,6798,2621322,0,57898,12197,31707,10569,253799,1725,180964,19499,5618,16630,121610,166694,27623,4459245,191351,1054610,149792,273223,306747,73789,10043410
China,2019,6465,2716551,0,56524,11970,31746,11445,250025,1537,185264,19459,5440,16863,121217,172892,27084,4584273,196726,1085273,152262,277142,320715,76990,10327863
Cyprus,2009,3,1764,0,27,21,4,14,156,1,154,8,13,6,58,485,2,2738,268,403,117,288,214,72,6816
Cyprus,2010,3,1805,0,25,21,4,14,142,1,153,8,14,6,58,476,2,2714,278,414,118,295,223,74,6848
Cyprus,2011,3,1843,0,23,21,4,13,133,1,149,8,15,6,57,461,2,2672,283,418,118,297,230,74,6831
Cyprus,2012,2,1892,0,22,21,4,13,127,1,146,8,16,6,58,451,2,2651,288,429,118,300,237,75,6867
Cyprus,2013,2,1952,0,23,21,4,13,126,0,145,8,17,6,60,449,2,2665,292,444,121,308,246,77,6981
Cyprus,2014,2,2023,0,24,21,4,14,127,0,148,8,18,7,62,454,2,2729,301,466,124,318,256,80,7188
Cyprus,2015,3,2084,0,24,21,5,15,128,0,151,9,19,7,62,456,2,2799,308,490,127,326,267,83,7386
Cyprus,2016,3,2117,0,25,21,4,16,128,0,152,9,20,7,63,450,2,2810,306,497,128,331,279,84,7452
Cyprus,2017,3,2145,0,25,21,4,17,131,0,153,9,20,7,64,454,2,2860,307,496,131,336,292,84,7561
Cyprus,2018,3,2214,0,26,21,4,17,132,0,160,9,21,7,65,471,2,2974,319,517,135,349,307,89,7842
Cyprus,2019,3,2291,0,26,21,5,17,134,0,169,9,22,7,67,490,3,3112,335,541,140,364,324,94,8174
Georgia,2009,34,7742,0,101,143,6,16,743,41,651,56,18,3,306,1119,30,32977,724,1351,1584,2032,1477,306,51465
Georgia,2010,31,8023,0,98,168,8,17,744,28,698,52,19,5,307,1235,28,33273,718,1368,1604,2104,1518,319,52369
Georgia,2011,30,8269,0,93,138,15,18,744,26,729,49,20,7,309,1356,26,32700,719,1358,1608,2156,1558,322,52251
Georgia,2012,29,8436,0,93,118,51,18,763,23,751,48,21,10,312,1493,25,31229,718,1319,1591,2184,1582,317,51132
Georgia,2013,29,8367,0,90,120,30,17,783,25,777,43,20,12,321,1502,23,29960,710,1270,1565,2195,1611,310,49782
Georgia,2014,27,8354,0,87,142,60,18,802,22,810,43,19,13,329,1479,22,29463,706,1240,1538,2180,1638,309,49301
Georgia,2015,26,8523,0,90,142,55,17,804,23,873,42,19,13,332,1468,20,29325,709,1234,1555,2204,1660,311,49445
Georgia,2016,24,8537,0,87,130,34,20,777,22,839,42,18,12,329,1462,21,30218,725,1254,1591,2219,1693,316,50371
Georgia,2017,23,8487,0,85,129,29,22,747,21,816,42,17,11,322,1437,21,30238,720,1249,1589,2200,1696,314,50215
Georgia,2018,22,8418,0,82,127,26,24,720,20,790,42,16,10,317,1406,20,29969,714,1236,1579,2172,1708,309,49727
Georgia,2019,21,8327,0,80,125,23,26,693,19,765,42,15,10,313,1374,20,29709,706,1222,1562,2139,1721,304,49216
India,2009,58449,634222,58617,65811,43077,142325,6216,202133,63708,500924,19473,802659,58734,190547,177064,5323,1898640,165221,890411,236152,415534,59418,27243,6722675
India,2012,53433,707505,42686,66282,39520,101377,6023,218869,55026,480048,20471,761001,51001,198142,207229,4772,2119847,178139,958036,247920,422871,75330,30619,7046411
India,2013,52065,739345,32921,63122,39234,91805,6495,213635,53088,485209,20511,738243,47070,192867,218827,4617,2200623,185457,1013921,246916,425083,84796,34226,7190543
India,2015,45025,801613,50605,56352,38837,66792,6986,201060,44105,463048,20753,674059,37961,180206,235067,4298,2289079,195704,1065412,247930,427616,98764,37450,7289109
India,2010,56658,657124,60236,66156,42607,127159,6233,207140,62544,485952,19903,787963,55050,194573,178992,5147,1942316,166916,890151,240822,419021,62664,27110,6763249
India,2011,55021,684892,63142,66452,42195,113454,6219,213755,59857,480265,20485,791919,52412,198645,191360,5174,2033996,173423,925689,247592,426844,67634,28597,6949521
India,2014,48398,760977,45334,57974,38180,79395,6625,204750,47286,474853,20125,697780,42065,183993,226879,4379,2232102,188804,1047340,241427,418285,92895,36704,7197040
India,2016,40773,833843,34592,53423,39190,57316,7306,199234,41836,439965,21469,650963,33198,180170,242916,3908,2350151,201902,1078119,253011,434870,105315,38673,7342610
India,2017,35394,860385,29355,51599,39452,49562,7578,199807,40309,428527,22048,654727,29994,182499,250293,3783,2409773,207357,1103683,259348,446772,112741,40466,7465917
India,2018,35306,898606,34030,53720,40402,46433,8083,208562,41791,434310,22687,645030,28439,191822,263805,3932,2508204,216209,1147884,265438,457661,121785,43550,7717689
India,2019,34736,932587,33372,54046,40954,46298,8465,211975,41843,433661,23261,632345,26868,195336,273089,3945,2574410,222922,1168381,270037,464914,129011,45305,7867761
Indonesia,2009,9183,173532,3012,6946,2540,3095,479,40737,10075,51750,593,75605,18940,7691,70947,969,514806,35997,94419,81959,115272,18357,5649,1342568
Indonesia,2013,7915,193469,1480,6102,2367,4852,517,37777,7634,47309,611,66978,20669,7474,87432,985,573039,37624,95674,84230,119354,20365,6392,1430272
Indonesia,2015,6946,202962,979,5630,2311,5316,542,36868,6520,46032,617,64578,21526,7410,95843,975,603096,38126,96559,83201,119335,21485,6737,1473616
Indonesia,2016,6469,209282,1077,5393,2296,5340,549,36866,6132,45232,626,63106,21104,7454,99125,964,614602,39406,97605,84434,120717,22082,6970,1496853
Indonesia,2010,8637,177788,6125,6717,2458,3499,486,39308,9342,50122,596,72855,19607,7626,74734,979,527322,36670,95050,82784,116137,18800,5819,1363461
Indonesia,2011,8169,183379,6096,6520,2411,4032,502,38161,8622,48806,599,70271,20020,7631,79023,991,540490,37234,96427,84078,117524,19291,6032,1386329
Indonesia,2012,8085,188339,3871,6301,2392,4512,516,38001,8160,48017,606,68494,20320,7523,82939,974,558106,37317,96052,83990,118387,19831,6220,1408968
Indonesia,2014,7184,198139,2019,5878,2335,5164,524,37338,7012,46493,615,65593,21152,7399,91872,990,587184,37822,95111,84378,120212,20922,6564,1451920
Indonesia,2017,5401,215810,1287,5251,2288,5290,563,36958,5826,44727,636,62584,20946,7538,101261,954,626883,40286,98705,86215,123121,22729,7168,1522447
Indonesia,2018,5030,222732,725,5153,2274,5415,576,37046,5508,44453,646,60886,20607,7589,103844,948,639224,41234,99795,87438,124701,23591,7393,1546808
Indonesia,2019,4715,229524,637,5011,2261,5603,589,37004,5264,44317,653,59589,20348,7658,106333,940,651481,42131,100930,88670,126347,24381,7616,1572002
Iran,2009,874,44685,3,1464,2423,509,3713,27972,355,10137,208,1150,282,4753,8152,1195,138683,8905,13147,5692,9141,8405,1918,293863
Iran,2010,863,46722,1,1398,2520,566,3689,27212,359,10266,212,1115,280,4816,8671,1152,140466,9280,13549,5751,9326,8959,2027,299315
Iran,2011,849,48991,1,1307,2502,646,3551,26257,353,10285,216,1113,269,4802,9022,1094,141549,9604,13881,5877,9594,9493,2115,303389
Iran,2012,848,51230,0,1251,2531,718,3377,25356,342,10296,220,1096,261,4783,9646,1024,143509,9747,14236,5947,9822,10043,2195,308490
Iran,2013,847,53763,0,1201,2558,779,3135,24364,329,10349,224,1096,265,4771,10783,964,147346,10008,14757,5975,10062,10647,2319,316581
Iran,2014,703,56475,0,1103,2549,835,3022,23049,309,10259,228,1076,261,4729,11863,886,151443,10416,15217,6069,10311,11233,2440,324489
Iran,2015,674,59217,0,1012,2530,887,2904,21850,278,10214,232,1046,249,4676,12976,826,157398,11052,15706,6188,10560,11844,2582,334939
Iran,2016,628,61079,0,948,2461,945,2855,21158,252,10057,236,1011,243,4656,13660,795,161815,11502,15999,6303,10754,12391,2674,342434
Iran,2017,605,62872,0,917,2354,1011,2858,21108,236,10086,240,1000,236,4617,13912,786,166375,11820,16332,6476,10995,12908,2734,350517
Iran,2018,588,64696,0,890,2272,1085,2888,21084,225,10084,245,977,231,4474,14285,782,169009,12125,16503,6635,11203,13404,2777,356462
Iran,2019,577,66792,0,866,2209,1177,2918,21122,214,10219,250,962,230,4172,14738,778,173601,12546,16835,6832,11482,13910,2848,365278
Iraq,2009,893,14879,0,1068,4110,64,450,5537,548,4728,43,1848,239,1515,6366,133,60270,5581,2892,2291,3193,2263,528,122024
Iraq,2010,851,15789,0,1064,4375,68,470,5633,534,4439,44,1732,216,1626,6438,133,61448,5733,2859,2359,3270,2328,548,124031
Iraq,2011,810,16756,0,1033,4585,76,493,5749,517,4172,46,1543,195,1735,6572,133,62570,5870,2835,2414,3328,2412,568,126282
Iraq,2012,700,17908,0,1015,4818,81,510,5832,492,3937,47,1298,177,1841,6697,132,63548,5996,2802,2431,3335,2493,589,129365
Iraq,2013,666,19164,0,987,4903,84,525,5867,470,3765,48,1087,162,1961,6865,131,64463,6184,2780,2442,3338,2579,616,136128
Iraq,2014,642,20123,0,994,5014,85,539,5869,457,3633,50,949,149,1987,7174,133,65672,6430,2803,2436,3320,2676,643,145743
Iraq,2015,613,20714,0,957,4985,84,545,5930,437,3497,51,836,138,2015,7476,131,67627,6619,2847,2437,3313,2763,663,143563
Iraq,2016,585,21435,0,926,5025,83,552,5912,420,3391,52,752,127,2032,7823,130,69311,6824,2905,2459,3331,2872,688,149842
Iraq,2017,518,22210,0,903,5015,83,564,5928,402,3282,54,722,120,2064,8130,130,71411,7028,2978,2533,3421,2984,714,147670
Iraq,2018,464,23326,0,876,4893,84,581,5673,373,3212,55,668,111,2093,8660,128,75358,7440,3122,2630,3540,3119,771,147177
Iraq,2019,427,24413,0,827,4816,82,585,5603,352,3178,57,629,104,2075,9257,125,79952,7887,3292,2720,3656,3259,842,154138
Israel,2009,26,11751,0,47,192,38,50,626,7,1220,61,259,43,539,2328,8,10313,2057,1582,641,1660,1829,450,35728
Israel,2010,26,12037,0,48,197,31,47,615,8,1263,58,286,45,543,2266,8,10307,2138,1610,639,1684,1920,463,36243
Israel,2011,27,12314,0,46,195,41,45,599,5,1343,58,310,46,531,2284,8,10571,2238,1675,664,1755,2016,487,37279
Israel,2012,26,12499,0,46,174,45,43,583,9,1405,59,333,46,521,2279,8,10581,2308,1712,666,1780,2101,503,37741
Israel,2013,27,12688,0,47,173,46,46,580,13,1454,58,348,46,514,2277,8,10658,2359,1740,672,1804,2198,516,38274
Israel,2014,28,12855,0,47,170,38,46,572,11,1519,58,360,47,509,2281,8,10737,2413,1774,673,1822,2295,529,38841
Israel,2015,28,13222,0,47,180,46,49,593,8,1615,56,373,48,512,2345,8,11063,2514,1837,691,1879,2408,549,40091
Israel,2016,27,13386,0,48,165,40,51,596,9,1648,58,371,49,516,2353,7,11174,2530,1846,692,1896,2503,556,40537
Israel,2017,27,13700,0,47,175,38,55,600,10,1661,61,371,50,522,2439,8,11553,2586,1899,709,1944,2606,569,41633
Israel,2018,28,14212,0,47,180,38,59,616,9,1708,63,378,51,533,2558,8,12034,2690,1973,736,2015,2700,590,43226
Israel,2019,28,14627,0,47,184,37,63,610,9,1739,65,386,52,545,2647,8,12393,2765,2027,756,2067,2777,605,44437
Japan,2009,492,384511,0,7025,851,201,461,8466,67,96236,679,2762,1448,32006,7924,452,310058,36376,43555,25468,51074,110223,12128,1132463
Japan,2010,511,394137,0,7322,828,215,467,8224,61,99708,680,2921,1510,31483,8109,442,317823,37998,45153,25817,52573,117644,12788,1166414
Japan,2012,399,409993,0,7780,746,206,469,7701,57,104165,682,3213,1613,29611,8227,399,330433,39972,47896,26006,54970,129637,14040,1218215
